,precision,recall,f1-score,support
Billing inquiry,0.18823529411764706,0.0653061224489796,0.09696969696969697,245.0
Cancellation request,0.2,0.08235294117647059,0.11666666666666667,255.0
Product inquiry,0.2336448598130841,0.1016260162601626,0.141643059490085,246.0
Refund request,0.2154696132596685,0.4448669201520912,0.2903225806451613,263.0
Technical issue,0.2505800464037123,0.4122137404580153,0.3116883116883117,262.0
accuracy,0.22580645161290322,0.22580645161290322,0.22580645161290322,0.22580645161290322
macro avg,0.2175859627188224,0.22127314809914383,0.19145806309198432,1271.0
weighted avg,0.21787156807073774,0.22580645161290322,0.19383866621884482,1271.0
